id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
52536695,The Jungle Room,78705,30.30091,-97.73963,Entire condominium (condo),Entire home/apt,4,1.0,1.0,102.0,2,365,4.38,4.63,4.25,4.88,4.75,4.88,4.38,True,212452953
52536780,Bouldin Creek Bungalow - close to everything!,78704,30.24939,-97.75951,Entire bungalow,Entire home/apt,4,1.0,2.0,490.0,5,1125,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,425230193
52538088,Fully equipped studio apartment,78737,30.2095,-97.96672,Entire guest suite,Entire home/apt,3,1.0,2.0,125.0,2,30,5.0,5.0,5.0,5.0,5.0,4.92,5.0,True,105932433
52539254,Super Cute 1 BR Condo Near Downtown,78723,30.308900981899168,-97.70598051062414,Entire condominium (condo),Entire home/apt,4,1.0,2.0,189.0,3,60,,,,,,,,False,8819870
52539431,Cheerful 3 bedroom 2 1/2 bathrooms with back yard,78741,30.22063,-97.69706,Entire townhouse,Entire home/apt,8,3.0,4.0,468.0,1,500,4.4,3.8,4.4,4.4,4.2,5.0,4.4,True,318605045
52539441,Bachelor Suite ATX 1BR 6 Guest Parking/Wifi 5th St,78703,30.27589,-97.75778,Entire rental unit,Entire home/apt,5,1.0,4.0,307.0,2,365,5.0,5.0,5.0,4.86,5.0,5.0,4.86,False,50939287
52547010,"South Shore Waterfront Cabin. Cozy Cabin on secluded cove, fish, boat, WiFi, lovely outdoor area",78734,30.380686,-97.958572,Entire cabin,Entire home/apt,4,1.0,2.0,204.0,2,365,,,,,,,,False,177821967
52547302,"Waterfront Cottage on Southshore - Private Deck, Beautiful Views, Steps to The Water, WiFi",78734,30.380686,-97.958572,Entire residential home,Entire home/apt,9,3.0,4.0,699.0,2,365,5.0,5.0,5.0,5.0,5.0,5.0,3.0,False,177821967
52547609,Luxury Retreat with Hill Country Views,78738,30.3329,-98.03222,Entire residential home,Entire home/apt,6,3.0,3.0,307.0,2,1125,,,,,,,,True,39611143
52547735,Great 1 bedroom apt near downtown and zilker park,78741,30.24333,-97.72906,Entire rental unit,Entire home/apt,3,1.0,,220.0,2,4,,,,,,,,False,425079659
52547870,ATP Perfection - 90sec Walk to South Congress!,78704,30.25047,-97.74677,Entire condominium (condo),Entire home/apt,2,1.0,1.0,292.0,29,1125,4.5,5.0,4.5,5.0,5.0,5.0,4.5,False,76947191
52550907,WanderJaunt | Hargis | 2BR | Central Austin,78705,30.2867,-97.72523,Entire rental unit,Entire home/apt,6,2.0,3.0,247.0,1,365,,,,,,,,True,104309976
52550915,WanderJaunt | Blanton | 2BR | Central Austin,78705,30.28851,-97.72634,Entire rental unit,Entire home/apt,6,2.0,3.0,320.0,1,365,4.33,4.67,3.67,5.0,5.0,5.0,4.33,True,104309976
52550929,WanderJaunt | Cromwell | 2BR | Central Austin,78705,30.28941,-97.72578,Entire rental unit,Entire home/apt,6,2.0,3.0,275.0,1,365,4.25,4.75,4.0,4.75,4.25,5.0,4.0,True,104309976
52552214,ATP Perfection - 90sec Walk to South Congress!,78704,30.25254,-97.74567,Entire condo,Entire home/apt,2,1.0,1.0,154.0,30,1125,4.17,4.17,4.83,4.83,4.67,5.0,4.33,False,76947191
